"trainer/global_step","cnn__medium__l1__True - _step","cnn__medium__l1__True - _step__MIN","cnn__medium__l1__True - _step__MAX","cnn__medium__l1__True - train_loss_step","cnn__medium__l1__True - train_loss_step__MIN","cnn__medium__l1__True - train_loss_step__MAX","cnn__large__l1__True - _step","cnn__large__l1__True - _step__MIN","cnn__large__l1__True - _step__MAX","cnn__large__l1__True - train_loss_step","cnn__large__l1__True - train_loss_step__MIN","cnn__large__l1__True - train_loss_step__MAX","cnn__small__l1__True - _step","cnn__small__l1__True - _step__MIN","cnn__small__l1__True - _step__MAX","cnn__small__l1__True - train_loss_step","cnn__small__l1__True - train_loss_step__MIN","cnn__small__l1__True - train_loss_step__MAX","cnn__expanded__l1__True - _step","cnn__expanded__l1__True - _step__MIN","cnn__expanded__l1__True - _step__MAX","cnn__expanded__l1__True - train_loss_step","cnn__expanded__l1__True - train_loss_step__MIN","cnn__expanded__l1__True - train_loss_step__MAX","cnn__lightweight__l1__True - _step","cnn__lightweight__l1__True - _step__MIN","cnn__lightweight__l1__True - _step__MAX","cnn__lightweight__l1__True - train_loss_step","cnn__lightweight__l1__True - train_loss_step__MIN","cnn__lightweight__l1__True - train_loss_step__MAX"
"5399","55","55","55","0.014556884765625","0.013336181640625","0.015777587890625","55","55","55","0.00804901123046875","0.00804901123046875","0.00804901123046875","55","55","55","0.015369415283203125","0.01111602783203125","0.019622802734375","55","55","55","0.01129150390625","0.01129150390625","0.01129150390625","55","55","55","0.018260955810546875","0.01299285888671875","0.023529052734375"
"5499","56","56","56","0.013408660888671875","0.011688232421875","0.01512908935546875","56","56","56","0.01067352294921875","0.01067352294921875","0.01067352294921875","56","56","56","0.016193389892578125","0.01502227783203125","0.017364501953125","56","56","56","0.0104522705078125","0.0104522705078125","0.0104522705078125","56","56","56","0.0173797607421875","0.0106201171875","0.024139404296875"
"5599","57","57","57","0.014308929443359375","0.01418304443359375","0.014434814453125","57","57","57","0.01238250732421875","0.01238250732421875","0.01238250732421875","57","57","57","0.014835357666015625","0.01348114013671875","0.0161895751953125","57","57","57","0.0115966796875","0.0115966796875","0.0115966796875","57","57","57","0.0205841064453125","0.0173797607421875","0.0237884521484375"
"5699","58","58","58","0.012889862060546875","0.01224517822265625","0.0135345458984375","58","58","58","0.01226806640625","0.01226806640625","0.01226806640625","58","58","58","0.0186309814453125","0.015380859375","0.021881103515625","58","58","58","0.010406494140625","0.010406494140625","0.010406494140625","58","58","58","0.01943206787109375","0.017486572265625","0.0213775634765625"
"5799","59","59","59","0.011016845703125","0.00933837890625","0.0126953125","59","59","59","0.01239776611328125","0.01239776611328125","0.01239776611328125","59","59","59","0.013607025146484375","0.0131988525390625","0.01401519775390625","59","59","59","0.0101318359375","0.0101318359375","0.0101318359375","59","59","59","0.012847900390625","0.01184844970703125","0.01384735107421875"
"5899","60","60","60","0.010162353515625","0.009552001953125","0.010772705078125","60","60","60","0.010528564453125","0.010528564453125","0.010528564453125","60","60","60","0.014942169189453125","0.01458740234375","0.01529693603515625","60","60","60","0.01015472412109375","0.01015472412109375","0.01015472412109375","60","60","60","0.014362335205078125","0.0132598876953125","0.01546478271484375"
"5999","61","61","61","0.011341094970703125","0.008514404296875","0.01416778564453125","61","61","61","0.00927734375","0.00927734375","0.00927734375","61","61","61","0.0123748779296875","0.00860595703125","0.016143798828125","61","61","61","0.0119171142578125","0.0119171142578125","0.0119171142578125","61","61","61","0.016017913818359375","0.01506805419921875","0.0169677734375"
"6099","62","62","62","0.011928558349609375","0.0117645263671875","0.01209259033203125","62","62","62","0.012298583984375","0.012298583984375","0.012298583984375","62","62","62","0.011447906494140625","0.0106048583984375","0.01229095458984375","62","62","62","0.01000213623046875","0.01000213623046875","0.01000213623046875","62","62","62","0.013896942138671875","0.01222991943359375","0.01556396484375"
"6199","63","63","63","0.015377044677734375","0.01161956787109375","0.019134521484375","63","63","63","0.0086212158203125","0.0086212158203125","0.0086212158203125","63","63","63","0.011383056640625","0.01015472412109375","0.01261138916015625","63","63","63","0.00724029541015625","0.00724029541015625","0.00724029541015625","63","63","63","0.014865875244140625","0.01262664794921875","0.0171051025390625"
"6299","64","64","64","0.013309478759765625","0.00891876220703125","0.0177001953125","64","64","64","0.0110626220703125","0.0110626220703125","0.0110626220703125","64","64","64","0.0114288330078125","0.00974273681640625","0.01311492919921875","64","64","64","0.0095977783203125","0.0095977783203125","0.0095977783203125","64","64","64","0.01689910888671875","0.0159454345703125","0.017852783203125"
"6399","65","65","65","0.0112152099609375","0.01021575927734375","0.01221466064453125","65","65","65","0.00970458984375","0.00970458984375","0.00970458984375","65","65","65","0.0125885009765625","0.0117950439453125","0.0133819580078125","65","65","65","0.00934600830078125","0.00934600830078125","0.00934600830078125","65","65","65","0.013652801513671875","0.0127716064453125","0.01453399658203125"
"6499","66","66","66","0.010074615478515625","0.00980377197265625","0.010345458984375","66","66","66","0.0099334716796875","0.0099334716796875","0.0099334716796875","66","66","66","0.012928009033203125","0.01165771484375","0.01419830322265625","66","66","66","0.0102691650390625","0.0102691650390625","0.0102691650390625","66","66","66","0.016170501708984375","0.01406097412109375","0.018280029296875"
"6599","67","67","67","0.01515960693359375","0.01507568359375","0.0152435302734375","67","67","67","0.007801055908203125","0.007801055908203125","0.007801055908203125","67","67","67","0.01126861572265625","0.0108489990234375","0.011688232421875","67","67","67","0.01025390625","0.01025390625","0.01025390625","67","67","67","0.0133209228515625","0.011260986328125","0.015380859375"
"6699","68","68","68","0.0120391845703125","0.01056671142578125","0.01351165771484375","68","68","68","0.012939453125","0.012939453125","0.012939453125","68","68","68","0.0129547119140625","0.01239776611328125","0.01351165771484375","68","68","68","0.01125335693359375","0.01125335693359375","0.01125335693359375","68","68","68","0.012989044189453125","0.011627197265625","0.01435089111328125"
"6799","69","69","69","0.010433197021484375","0.009429931640625","0.01143646240234375","69","69","69","0.00658416748046875","0.00658416748046875","0.00658416748046875","69","69","69","0.014404296875","0.01371002197265625","0.01509857177734375","69","69","69","0.01282501220703125","0.01282501220703125","0.01282501220703125","69","69","69","0.0187225341796875","0.018646240234375","0.018798828125"
"6899","70","70","70","0.0108795166015625","0.01036834716796875","0.01139068603515625","70","70","70","0.00992584228515625","0.00992584228515625","0.00992584228515625","70","70","70","0.009860992431640625","0.00940704345703125","0.01031494140625","70","70","70","0.01009368896484375","0.01009368896484375","0.01009368896484375","70","70","70","0.013980865478515625","0.01357269287109375","0.0143890380859375"
"6999","71","71","71","0.014003753662109375","0.0124969482421875","0.01551055908203125","71","71","71","0.01186370849609375","0.01186370849609375","0.01186370849609375","71","71","71","0.016178131103515625","0.01555633544921875","0.0167999267578125","71","71","71","0.0123291015625","0.0123291015625","0.0123291015625","71","71","71","0.01971435546875","0.0174407958984375","0.0219879150390625"
"7099","73","73","73","0.010662078857421875","0.00997161865234375","0.0113525390625","73","73","73","0.007659912109375","0.007659912109375","0.007659912109375","73","73","73","0.01274871826171875","0.0125274658203125","0.012969970703125","73","73","73","0.0138397216796875","0.0138397216796875","0.0138397216796875","73","73","73","0.01905059814453125","0.016632080078125","0.0214691162109375"
